2.11,0.97,0.02,0.65,2.93,3.61,3.11,0
0.35,1.75,0.96,0.94,2.16,3.84,5.51,1
0.82,1.71,0.95,0.56,2.51,3.72,2.24,1
0.72,1.41,0.25,0.32,1.6,3.61,4.64,0
0.69,1.19,0.7,0.04,4.33,3.23,5.25,1
2.47,1.72,0.05,0.64,2.35,4.18,3.64,0
2.79,1.27,0.35,0.42,3.12,2.43,2.53,1
0.97,2.38,0.68,0.96,2.61,3.48,4.9,1
2.5,0.63,0.23,0.59,2.44,3.73,5.51,1
2.69,2.22,0.34,0.63,5.62,4.55,1.31,1
1.64,0.78,0.13,0.64,5.89,3.35,4.57,0
0.89,2.81,0.15,0.54,4.85,3.47,3.52,0
2.51,1.28,0.01,0.39,5.6,3.6,3.98,0
0.8,1.11,0.34,0.46,2.28,4.67,5.32,0
2.28,2.72,0.43,0.68,1.24,4.16,1.5,0
1.96,0.33,0.42,0.24,2.8,3.58,1.85,0
2.8,2.94,0.28,0.18,2.09,2.96,3.71,0
0.85,2.8,0.53,0.9,1.95,4.94,3.47,0
2.44,2.06,0.03,0.68,5.94,3.26,2.69,0
1.65,1.79,0.41,0.87,2.08,3.19,2.83,0
0.85,1.67,0.61,0.37,2.93,3.2,3.05,1
0.66,0.43,0.76,0.58,1.37,2.66,2.58,1
1.59,0.45,0.99,0.6,4.56,3.61,2.42,1
1.83,2.13,0.44,0.89,3.54,2.64,3.99,0
0.72,2.88,0.94,0.88,1.81,2.94,3.75,1
0.24,1.63,0.92,0.26,2.49,4.31,5.69,1
1.52,0.2,0.14,0.97,1.46,2.6,1.21,0
2.24,2.52,0.5,0.37,5.89,2.34,2.58,0
2.77,2.53,0.22,0.61,2.67,4.71,2.57,0
1.95,1.14,0.79,0.99,1.5,2.66,4.41,1
2.77,2.1,0.74,0.41,5.38,2.5,3.69,0
2.62,0.6,0.97,0.64,3.82,3.82,5.19,1
0.81,0.66,0.06,0.99,3.94,3.59,3.16,0
2.63,2.19,0.43,0.63,3.04,2.95,4.42,0
2.25,1.63,0.36,0.66,4.37,2.41,4.61,0
0.98,1.85,0.66,0.79,2.66,4.44,5.89,1
2.43,1.67,0.53,0.79,4.04,3.99,1.83,0
2.62,2.83,0.57,0.95,2.39,2.6,4.78,1
1.04,2.41,0.14,0.65,3.24,3.01,1.51,1
1.68,2.72,0.94,0.25,2.35,4.52,4.17,1
0.4,1.02,0.32,0.06,5.62,4.74,1.71,0
1.83,2.94,0.39,0.08,3.54,3.7,1.5,0
0.87,2.49,0.23,0.96,4.07,2.73,4.15,0
2.34,0.48,0.3,0.82,4.09,2.24,5.26,0
0.69,0.44,0.38,0.59,5.43,2.54,1.86,1
1.08,0.74,0.26,0.9,3.61,4.59,4.8,0
0.24,1.14,0.45,0.87,5.79,4.27,2.69,0
0.29,0.81,0.83,0.36,5.05,2.92,1.96,1
1.59,0.35,0.84,0.81,5.47,3.59,5.59,1
1.51,1.45,0.61,0.2,4.01,2.6,3.41,1
0.56,0.94,0.55,0.98,2.63,2.51,4.5,1
0.92,1.5,0.6,0.32,2.02,2.26,4.14,0
0.21,2.39,0.5,0.28,4.45,3.62,3.95,1
1.27,1.1,0.07,0.18,1.42,4.19,2.09,0
1.81,0.31,0.1,0.56,3.99,2.37,3.21,0
1.4,2.54,0.48,0.9,3.27,3.34,5.05,1
2.54,1.57,0.07,0.55,2.14,3.81,2.45,0
1.93,0.88,0.13,0.04,5.4,3.4,1.6,0
0.95,2.8,0.63,0.05,2.52,2.31,4.49,1
2.47,2.26,0.95,0.52,1.74,3.21,4.81,0
1.6,1.38,0.03,0.89,2.51,3.9,5.18,0
2.32,1.17,0.6,0.58,3.37,2.79,4.16,0
1.79,0.4,0.45,0.75,3.91,3.99,2.63,1
1.42,1.0,0.04,0.84,5.76,3.51,2.03,0
1.31,2.2,0.78,0.13,2.92,4.07,2.67,0
0.26,0.41,0.7,0.43,5.14,3.64,1.21,1
1.51,1.25,0.93,0.0,4.96,2.25,2.42,1
1.95,1.86,0.66,0.42,2.71,4.97,3.51,1
2.85,2.27,0.72,0.86,4.36,4.06,5.21,1
1.42,2.28,0.36,0.79,4.44,2.27,2.44,0
1.56,1.02,0.58,0.33,2.15,3.12,1.74,1
1.65,1.12,0.62,0.71,5.68,2.77,2.69,0
1.34,0.64,0.12,0.71,1.51,3.67,5.08,0
1.82,2.24,0.2,0.49,1.5,3.66,5.77,0
0.4,0.94,0.24,0.1,3.86,3.21,1.56,0
1.57,1.55,0.61,0.93,2.7,4.16,4.96,1
1.91,2.72,0.54,0.57,3.85,4.61,3.41,1
2.28,0.22,0.32,0.18,2.62,2.99,3.4,0
1.4,2.6,0.79,0.67,5.46,2.47,3.65,0
1.05,2.27,0.69,0.77,3.38,4.99,4.84,0
0.22,2.01,0.14,0.11,1.74,4.55,5.6,0
2.32,1.34,0.79,0.42,2.51,3.01,1.82,1
0.42,1.95,0.31,0.95,1.97,3.88,2.44,1
1.57,2.86,0.47,0.59,5.95,2.42,4.54,0
1.05,0.47,0.18,0.78,4.87,4.88,1.23,0
2.55,0.39,0.4,0.15,2.35,3.03,4.52,0
2.86,1.15,0.23,0.27,2.19,2.97,3.41,1
1.09,0.49,0.73,0.96,4.61,2.8,3.36,1
2.71,2.77,0.59,0.08,4.96,2.85,4.75,1
1.15,2.4,0.88,0.89,3.59,4.72,2.94,1
2.47,0.64,0.16,0.06,5.63,2.93,1.86,0
